entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label
SA0018,service_account,2026-07-27 00:01:45.959999,18.54.253.41,"Madrid, Spain",Customer_DB,token,120.0,"login_success,read,logout",Ubuntu20.04_86-40-41-f3-54-87_IPv4,normal
ED0107,edge_device,2026-07-27 00:01:45.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
SA0147,service_account,2026-07-27 00:01:45.959999,201.229.166.123,"Melbourne, Australia",Customer_DB,token,45.0,"login_success,read,logout",Unknown_OS_68-1e-11-26-18-03_IPv4,device_spoofing
U0187,user,2026-07-27 00:01:45.959999,114.100.110.175,"Johannesburg, South Africa",IoT_Gateway_B,biometric,45.0,"login_success,read,logout",Unknown_OS_ea-b4-56-47-fa-5e_IPv4,device_spoofing
U0121,user,2026-07-27 00:01:45.959999,155.39.224.174,"Nairobi, Kenya",IoT_Gateway_B,token,300.0,"login_success,execute,download,logout",macOS_da-80-e9-9a-65-c4_IPv4,lateral_movement
U0025,user,2026-07-27 00:01:45.959999,53.183.34.65,"Mumbai, India",HR_Portal,biometric,45.0,"login_success,read,logout",Unknown_OS_ba-83-fa-fb-eb-56_IPv4,device_spoofing
U0044,user,2026-07-27 00:01:45.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:01:47.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:01:49.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
ED0140,edge_device,2026-07-27 00:01:50.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0044,user,2026-07-27 00:01:51.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:01:53.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0003,user,2026-07-27 00:01:55.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0044,user,2026-07-27 00:01:55.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:01:57.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:01:59.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
ED0195,edge_device,2026-07-27 00:02:00.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0044,user,2026-07-27 00:02:01.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:02:03.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:02:05.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0181,user,2026-07-27 00:02:05.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0044,user,2026-07-27 00:02:07.959999,109.71.32.210,"Los Angeles, USA",IoT_Gateway_A,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:02:09.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0023,user,2026-07-27 00:02:10.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0044,user,2026-07-27 00:02:11.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0044,user,2026-07-27 00:02:13.959999,109.71.32.210,"Los Angeles, USA",Customer_DB,password,0.0,login_failed,Kali_Linux_Unknown_MAC_IPv4,brute_force
U0035,user,2026-07-27 00:02:15.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0048,user,2026-07-27 00:02:20.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0086,user,2026-07-27 00:02:25.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
ED0088,edge_device,2026-07-27 00:02:30.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0154,user,2026-07-27 00:02:35.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0044,user,2026-07-27 00:02:40.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
SA0199,service_account,2026-07-27 00:02:45.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0008,user,2026-07-27 00:02:50.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
ED0080,edge_device,2026-07-27 00:02:55.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0024,user,2026-07-27 00:03:00.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
SA0028,service_account,2026-07-27 00:03:05.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0057,user,2026-07-27 00:03:10.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0122,user,2026-07-27 00:03:15.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0059,user,2026-07-27 00:03:20.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
ED0016,edge_device,2026-07-27 00:03:25.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0119,user,2026-07-27 00:03:30.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0112,user,2026-07-27 00:03:35.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0009,user,2026-07-27 00:03:40.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0121,user,2026-07-27 00:03:45.959999,155.39.224.174,"Nairobi, Kenya",Financial_API,token,300.0,"login_success,execute,download,logout",macOS_da-80-e9-9a-65-c4_IPv4,lateral_movement
ED0017,edge_device,2026-07-27 00:03:45.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
SA0185,service_account,2026-07-27 00:03:50.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
SA0118,service_account,2026-07-27 00:03:55.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0196,user,2026-07-27 00:04:00.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
U0033,user,2026-07-27 00:04:05.959999,26.205.83.156,"Unknown, Unknown",VPN_Gateway,password,0.0,login_failed,Python_Requests_Script,credential_stuffing
